bus,vA,vB,vC,vmin,vmax
sourcebusz,252.79827861790895,245.50755066323967,252.96948446122389,245.50755066323967,252.96948446122389
sourcebus,252.97880539633655,245.6190168568424,252.8842940481858,245.6190168568424,252.97880539633655
_virtual_bus.voltage_source.source,252.97880540181424,245.61901686009804,252.88429404564158,245.61901686009804,252.97880540181424
13357776,251.49642555094522,248.2956051594552,249.3547205123906,248.2956051594552,251.49642555094522
11730483,251.49432324325537,248.29560812438714,249.3547205123906,248.29560812438714,251.49432324325537
12308113,251.49642555094522,248.29598593951712,249.3547205123906,248.29598593951712,251.49642555094522
10511265,251.50050120041422,248.29887258115602,249.3547205123906,248.29887258115602,251.50050120041422
13357773,251.4876171390874,248.30234769818424,249.3547205123906,248.30234769818424,251.4876171390874
12934945,251.49244620540642,248.30234769818424,249.3547205123906,248.30234769818424,251.49244620540642
12934838,251.49244620540642,248.30234769818424,249.3547205123906,248.30234769818424,251.49244620540642
12934837,251.49368868236175,248.30234769818424,249.3547205123906,248.30234769818424,251.49368868236175
12934835,251.49432324325537,248.30234769818424,249.3547205123906,248.30234769818424,251.49432324325537
12958976,251.49642555094522,248.3044770286154,249.3547205123906,248.3044770286154,251.49642555094522
12184416,251.48710590661784,248.31686116592238,249.3547205123906,248.31686116592238,251.48710590661784
12385154,251.48832566508395,248.31686116592238,249.3547205123906,248.31686116592238,251.48832566508395
12954261,251.50050120041422,248.31686116592238,249.3547205123906,248.31686116592238,251.50050120041422
11627664,251.51821223469287,248.33273597212232,249.3547205123906,248.33273597212232,251.51821223469287
10932282,251.5029837055518,248.33703125982504,249.3547205123906,248.33703125982504,251.5029837055518
12953841,251.51543669076491,248.33703125982504,249.3547205123906,248.33703125982504,251.51543669076491
12952964,251.51821223469287,248.33984255801693,249.3547205123906,248.33984255801693,251.51821223469287
10915895,251.55122919613697,248.35313023327228,249.3547205123906,248.35313023327228,251.55122919613697
13601746,251.52943371880693,248.3542843907744,249.3548159789203,248.3542843907744,251.52943371880693
12973244,251.52987164976093,248.3546040813002,249.3547205123906,248.3546040813002,251.52987164976093
13357779,251.52232894849186,248.3546040813002,249.3547205123906,248.3546040813002,251.52232894849186
11410018,251.55122919613697,248.36679491456488,249.3547205123906,248.36679491456488,251.55122919613697
12973133,251.55122919613697,248.37263166646778,249.3547205123906,248.37263166646778,251.55122919613697
11113663,251.5945644632551,248.41133822418453,249.3547205123906,248.41133822418453,251.5945644632551
12972223,251.5945644632551,248.42039343328324,249.3547205123906,248.42039343328324,251.5945644632551
12972035,251.5945644632551,248.423837879252,249.3547205123906,248.423837879252,251.5945644632551
11068335,251.5809816555647,248.423837879252,249.3547205123906,248.423837879252,251.5809816555647
12971481,251.60333956514592,248.43399520697025,249.3547205123906,248.43399520697025,251.60333956514592
13601748,251.5757345803621,248.43399520697025,249.3547205123906,248.43399520697025,251.5757345803621
12971810,251.58944000780875,248.43399520697025,249.3547205123906,248.43399520697025,251.58944000780875
13595202,251.39471589172237,248.4456997903199,249.3070567009683,248.4456997903199,251.39471589172237
