net,location,pv_bus,pv_kw_per_phase,load_alpha,status,vmin_pu,vmax_pu,n_under,n_over
spd_r,far_end,11022643,0.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,1.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,2.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,3.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,4.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,5.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,6.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,7.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,8.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,9.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,10.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,11.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,12.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,13.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,14.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
spd_r,far_end,11022643,15.0,1.0,LOCALLY_SOLVED,1.01,1.01000132934887,0,0
