bus,distance_km,vA,vB,vC,vmin,vmax
sourcebus,0.001,232.3,232.3,232.3,232.3,232.3
11056295,0.0405474,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14522892,0.0117604,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13215639,0.0165704,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
9089776,0.0,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13226998,0.0322474,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
10637594,0.0254594,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
11056946,0.0173444,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
14522883,0.0097504,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
12219819,0.0421674,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13212201,0.0466364,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
11089750,0.0565764,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13221537,0.0246374,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13215643,0.021960399999999998,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13221574,0.042604399999999994,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13320538,0.0425964,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
12004807,0.0033804000000000004,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13284933,0.05748439999999999,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
16081939,0.0202214,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
17444778,0.0318364,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
17439336,0.0002604,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
13353837,0.020410400000000002,232.30030575024008,232.30030575024003,232.30030575024008,232.30030575024003,232.30030575024008
_virtual_bus.transformer.dist_transformer_14216629_9089776_4,,232.30030575024003,232.30030575024008,232.30030575024008,232.30030575024003,232.30030575024008
