branch_id,f_bus,t_bus,s_from,rate,loading_pct
267,269,268,0.0005024059735733724,,
266,268,266,0.0005022079793182045,,
265,267,266,0.0005019789104464303,,
268,270,190,0.00037854070635868646,,
80,190,204,0.0003785407063489567,,
160,205,26,0.0001502028571943276,,
57,26,110,0.0001501422032789197,,
33,152,161,0.0001479807842950198,,
214,161,122,0.00014798077809392008,,
5,92,122,0.00014798076301170642,,
10,55,264,0.000147961440403786,,
245,55,92,0.000147961440403786,,
51,8,264,0.00014792483042284043,,
104,24,8,0.00014791646526570037,,
63,152,229,0.00014348712849753147,,
101,229,151,0.00014348712338846,,
148,162,151,0.00014348710875726475,,
168,223,235,0.00014346847588425968,,
18,223,162,0.00014346847588425968,,
172,152,39,0.00014076827623862702,,
152,39,145,0.00014076827321497215,,
30,37,145,0.00014076826165713692,,
174,34,37,0.0001407508256121023,,
21,154,34,0.0001406914728668496,,
233,167,235,0.0001330730188305785,,
257,169,154,0.00013061113300953523,,
144,221,169,0.00013060433116453984,,
219,250,221,0.00013052189014944887,,
218,13,250,0.00013050066326187855,,
110,114,13,0.00013044832027803423,,
192,227,114,0.0001303873274265034,,
88,153,227,0.0001303695869910738,,
155,110,45,0.00013008724483158917,,
11,167,205,0.00012308872261026813,,
232,93,153,0.00012029515340774298,,
165,45,25,0.00012007345411900289,,
23,36,93,0.00011013341871996889,,
32,253,36,0.00011012064208950129,,
112,25,259,0.00010006209765222947,,
70,24,63,8.797828898787245e-5,,
8,63,85,8.797635908636225e-5,,
187,85,196,8.79721117278123e-5,,
96,196,234,8.793006198985024e-5,,
240,259,127,8.00451044803458e-5,,
209,127,64,8.003817062161122e-5,,
85,234,125,7.795788020431999e-5,,
113,152,168,7.010743242688171e-5,,
190,168,214,7.010743151805935e-5,,
199,59,214,7.010742843647832e-5,,
48,101,260,7.010279965181722e-5,,
4,101,59,7.010279965181722e-5,,
66,260,69,7.0094580871638e-5,,
107,69,70,7.009381750618198e-5,,
40,70,29,7.008317385399103e-5,,
163,64,14,7.003381698148162e-5,,
82,125,255,6.794216929076822e-5,,
244,255,251,6.794181279993903e-5,,
